url;тип;уровень;родитель;приоритет;брендов в листинге;примечание
/;home;0;—;1;;
/casino-payment/paypal-casino/;listing;2;/zahlungen/;1;10;
/casino-payment/visa-casino/;listing;2;/zahlungen/;1;18;
/casino-payment/paysafecard-casino/;listing;2;/zahlungen/;1;14;
/casino-bonus/welcome-bonus/;listing;2;/bonusse/;1;18;
/casino-bonus/free-spins/;listing;2;/bonusse/;1;15;
/casino-general/best-online-casinos/;listing;2;/aktuell/;1;15;отсечено по limit: 3
/casino-general/legal-online-casino/;listing;2;/aktuell/;1;10;
/casino-general/casino-apps/;listing;2;/aktuell/;1;5;
/casino-license/casinos-ohne-lizenz/;listing;2;/lizenzen/;1;8;
/casino-provider/pragmatic-play/;listing;2;/anbieter/;1;14;
/casino-provider/playn-go/;listing;2;/anbieter/;2;7;
/casino-provider/merkur/;listing;2;/anbieter/;1;9;
/casino-provider/novoline/;listing;2;/anbieter/;1;11;
/casino-live/live-baccarat/;listing;2;/live-spiele/;2;5;
/casino-live/crazy-time/;listing;2;/live-spiele/;1;6;
/casino-betting/sports-betting/;listing;2;/quoten/;1;8;
/casino-betting/tennis-betting/;listing;2;/quoten/;2;7;
/zahlungen/;hub;1;/;1;;
/bonusse/;hub;1;/;1;;
/aktuell/;hub;1;/;1;;
/lizenzen/;hub;1;/;1;;
/anbieter/;hub;1;/;2;;
/live-spiele/;hub;1;/;2;;
/quoten/;hub;1;/;2;;
/casino/;brand-index;1;/;2;;
/casino/slotuna/;brand;2;/casino/;1;;
/go/slotuna/;go;2;—;5;;noindex
/casino/sportuna/;brand;2;/casino/;1;;
/go/sportuna/;go;2;—;5;;noindex
/casino/lanista/;brand;2;/casino/;1;;
/go/lanista/;go;2;—;5;;noindex
/casino/jet4bet/;brand;2;/casino/;1;;
/go/jet4bet/;go;2;—;5;;noindex
/casino/goldexcasino/;brand;2;/casino/;1;;
/go/goldexcasino/;go;2;—;5;;noindex
/casino/vicibet/;brand;2;/casino/;1;;
/go/vicibet/;go;2;—;5;;noindex
/casino/slotsgem/;brand;2;/casino/;1;;
/go/slotsgem/;go;2;—;5;;noindex
/casino/spinline/;brand;2;/casino/;1;;
/go/spinline/;go;2;—;5;;noindex
/casino/leovegas/;brand;2;/casino/;1;;
/go/leovegas/;go;2;—;5;;noindex
/casino/betano/;brand;2;/casino/;1;;
/go/betano/;go;2;—;5;;noindex
/casino/tipico/;brand;2;/casino/;1;;
/go/tipico/;go;2;—;5;;noindex
/casino/bwin/;brand;2;/casino/;1;;
/go/bwin/;go;2;—;5;;noindex
/casino/mr-green/;brand;2;/casino/;1;;
/go/mr-green/;go;2;—;5;;noindex
/casino/wunderino/;brand;2;/casino/;1;;
/go/wunderino/;go;2;—;5;;noindex
/casino/jackpotpiraten/;brand;2;/casino/;1;;
/go/jackpotpiraten/;go;2;—;5;;noindex
/casino/lapalingo/;brand;2;/casino/;1;;
/go/lapalingo/;go;2;—;5;;noindex
/casino/drueckglueck/;brand;2;/casino/;1;;
/go/drueckglueck/;go;2;—;5;;noindex
/casino/merkur-bets/;brand;2;/casino/;1;;
/go/merkur-bets/;go;2;—;5;;noindex
/vergleich/;compare;1;/;1;;
/so-testen-wir/;static;1;/;1;;
/redaktion/;static;1;/;1;;
/redaktionelle-richtlinien/;static;1;/;1;;
/verantwortungsvolles-spielen/;static;1;/;1;;
/impressum/;static;1;/;1;;
/datenschutz/;static;1;/;1;;
/404.html;static;1;/;3;;noindex
/paypal/;301;1;/casino-payment/paypal-casino/;;;короткий URL эталона (лист 07)
/visa/;301;1;/casino-payment/visa-casino/;;;короткий URL эталона (лист 07)
/casino-payment/maestro-casino/;301;2;/zahlungen/;;;вне текущей волны публикации
/paysafecard/;301;1;/casino-payment/paysafecard-casino/;;;короткий URL эталона (лист 07)
/casino-payment/skrill-casino/;301;2;/zahlungen/;;;вне текущей волны публикации
/skrill/;301;1;/zahlungen/;;;короткий URL тонкого листинга
/casino-payment/muchbetter-casino/;301;2;/zahlungen/;;;вне текущей волны публикации
/muchbetter/;301;1;/zahlungen/;;;короткий URL тонкого листинга
/casino-payment/apple-pay-casino/;301;2;/zahlungen/;;;вне текущей волны публикации
/apple-pay/;301;1;/zahlungen/;;;короткий URL тонкого листинга
/casino-payment/wire-transfer-casino/;301;2;/zahlungen/;;;вне текущей волны публикации
/casino-payment/fast-payouts/;301;2;/zahlungen/;;;вне текущей волны публикации
/fast-payouts/;301;1;/zahlungen/;;;короткий URL тонкого листинга
/welcome-bonus/;301;1;/casino-bonus/welcome-bonus/;;;короткий URL эталона (лист 07)
/casino-bonus/no-deposit-bonus-codes/;301;2;/bonusse/;;;тонкий листинг: 0 брендов из 5
